time,sampling,quantize,encode
0.736,3.853,98,01100010
0.737,3.645,93,01011101
0.738,3.423,87,01010111
0.739,3.187,81,01010001
0.74,2.939,75,01001011
0.741,2.679,68,01000100
0.742,2.409,61,00111101
0.743,2.129,54,00110110
0.744,1.841,47,00101111
0.745,1.545,39,00100111
0.746,1.243,31,00011111
0.747,0.937,23,00010111
0.748,0.627,16,00010000
0.749,0.314,8,00001000
0.75,0.0,0,00000000
0.751,-0.314,-9,11110111
0.752,-0.627,-17,11101111
0.753,-0.937,-24,11101000
0.754,-1.243,-32,11100000
0.755,-1.545,-40,11011000
0.756,-1.841,-48,11010000
0.757,-2.129,-55,11001001
0.758,-2.409,-62,11000010
0.759,-2.679,-69,10111011
0.76,-2.939,-76,10110100
0.761,-3.187,-82,10101110
0.762,-3.423,-88,10101000
0.763,-3.645,-94,10100010
0.764,-3.853,-99,10011101
0.765,-4.045,-104,10011000
0.766,-4.222,-109,10010011
0.767,-4.382,-113,10001111
0.768,-4.524,-116,10001100
0.769,-4.649,-120,10001000
0.77,-4.755,-122,10000110
0.771,-4.843,-124,10000100
0.772,-4.911,-126,10000010
0.773,-4.961,-127,10000001
0.774,-4.99,-128,10000000
0.775,-5.0,-128,10000000
0.776,-4.99,-128,10000000
0.777,-4.961,-127,10000001
0.778,-4.911,-126,10000010
0.779,-4.843,-124,10000100
0.78,-4.755,-122,10000110
0.781,-4.649,-120,10001000
0.782,-4.524,-116,10001100
0.783,-4.382,-113,10001111
0.784,-4.222,-109,10010011
0.785,-4.045,-104,10011000
0.786,-3.853,-99,10011101
0.787,-3.645,-94,10100010
0.788,-3.423,-88,10101000
0.789,-3.187,-82,10101110
0.79,-2.939,-76,10110100
0.791,-2.679,-69,10111011
0.792,-2.409,-62,11000010
0.793,-2.129,-55,11001001
0.794,-1.841,-48,11010000
0.795,-1.545,-40,11011000
0.796,-1.243,-32,11100000
0.797,-0.937,-24,11101000
0.798,-0.627,-17,11101111
0.799,-0.314,-9,11110111
0.8,0.0,0,00000000
0.801,0.314,8,00001000
0.802,0.627,16,00010000
0.803,0.937,23,00010111
0.804,1.243,31,00011111
0.805,1.545,39,00100111
0.806,1.841,47,00101111
0.807,2.129,54,00110110
0.808,2.409,61,00111101
0.809,2.679,68,01000100
0.81,2.939,75,01001011
0.811,3.187,81,01010001
0.812,3.423,87,01010111
0.8130000000000001,3.645,93,01011101
0.8140000000000001,3.853,98,01100010
0.8150000000000001,4.045,103,01100111
0.8160000000000001,4.222,108,01101100
0.8170000000000001,4.382,112,01110000
0.8180000000000001,4.524,115,01110011
0.8190000000000001,4.649,119,01110111
0.8200000000000001,4.755,121,01111001
0.8210000000000001,4.843,123,01111011
0.8220000000000001,4.911,125,01111101
0.8230000000000001,4.961,127,01111111
0.8240000000000001,4.99,127,01111111
0.8250000000000001,5.0,127,01111111
0.8260000000000001,4.99,127,01111111
0.8270000000000001,4.961,127,01111111
0.8280000000000001,4.911,125,01111101
0.8290000000000001,4.843,123,01111011
0.8300000000000001,4.755,121,01111001
0.8310000000000001,4.649,119,01110111
0.8320000000000001,4.524,115,01110011
0.833,4.382,112,01110000
0.834,4.222,108,01101100
0.835,4.045,103,01100111
0.836,3.853,98,01100010
0.837,3.645,93,01011101
0.838,3.423,87,01010111
0.839,3.187,81,01010001
0.84,2.939,75,01001011
0.841,2.679,68,01000100
0.842,2.409,61,00111101
0.843,2.129,54,00110110
0.844,1.841,47,00101111
0.845,1.545,39,00100111
0.846,1.243,31,00011111
0.847,0.937,23,00010111
0.848,0.627,16,00010000
0.849,0.314,8,00001000
0.85,0.0,0,00000000
0.851,-0.314,-9,11110111
0.852,-0.627,-17,11101111
0.853,-0.937,-24,11101000
0.854,-1.243,-32,11100000
0.855,-1.545,-40,11011000
0.856,-1.841,-48,11010000
0.857,-2.129,-55,11001001
0.858,-2.409,-62,11000010
0.859,-2.679,-69,10111011
0.86,-2.939,-76,10110100
0.861,-3.187,-82,10101110
0.862,-3.423,-88,10101000
0.863,-3.645,-94,10100010
0.864,-3.853,-99,10011101
0.865,-4.045,-104,10011000
0.866,-4.222,-109,10010011
0.867,-4.382,-113,10001111
0.868,-4.524,-116,10001100
0.869,-4.649,-120,10001000
0.87,-4.755,-122,10000110
0.871,-4.843,-124,10000100
0.872,-4.911,-126,10000010
0.873,-4.961,-127,10000001
0.874,-4.99,-128,10000000
0.875,-5.0,-128,10000000
0.876,-4.99,-128,10000000
0.877,-4.961,-127,10000001
0.878,-4.911,-126,10000010
0.879,-4.843,-124,10000100
0.88,-4.755,-122,10000110
0.881,-4.649,-120,10001000
0.882,-4.524,-116,10001100
0.883,-4.382,-113,10001111
0.884,-4.222,-109,10010011
0.885,-4.045,-104,10011000
0.886,-3.853,-99,10011101
0.887,-3.645,-94,10100010
0.888,-3.423,-88,10101000
0.889,-3.187,-82,10101110
